,id,claim,label,extraction_span,backtranslation,augmentation,augmentation_span,noisy,filepath,text
128037,dailymail-train-c9c0c501f056aed5c232ae5d133e0d989c8c1edb,We can not learn a lot about them.',REFUTES,"[341, 349]",0.0,NegateSentences,"[1, 2]",,cnndm/dailymail/stories/c9c0c501f056aed5c232ae5d133e0d989c8c1edb.story,"By Sarah Griffiths PUBLISHED: 09:59 EST, 3 September 2013 | UPDATED: 10:14 EST, 3 September 2013 Scientists around the world are working to resurrect extinct animals from the long-lost woolly mammoth to an Australian frog that gives birth to its young via its mouth. Researchers in Australia have made the first steps towards bringing the frog, which was certified extinct in 1983, back to life, but the Lazarus Project - a 'de-extinction initiative' - is hopeful that many other species can be re-introduced to be studied by scientists. The process of de-extinction is more complex than cloning living animals, but a group of scientists believe humans have the ability and obligation to repair the damage they have done to the planet, which has led to countless types of animals dying out. An effort is underway in Australia to resurrect the southern gastric-brooding frog (pictured), which swallowed fertilised eggs and gave birth orally, before the last known female died in captivity in 1983. Scientists had been fascinated by the creatures but before they could study them in detail, the frogs died out Stem cell scientist Sir Ian Wilmut who is best known for cloning the world's first mammal, Dolly the sheep, thinks modern techniques could be used to create a replica of the prehistoric animal. Sir Ian said told The Guardian: 'I've always been very sceptical about the whole idea, but it dawned on me that if you could clear the first hurdle of getting viable cells from mammoths, you might be able to do something useful and interesting.' 'I think it should be done as long as we can provide great care for the animal. If there are reasonable prospects of them being healthy, we should do it. We can learn a lot about them.' Samples from 'Yuka' the mammoth who lived 39,000-years-ago have been sent to laboratories in South Korea and Russian researchers hope to clone her. The source of viable mammoth cells could come from  a number of frozen bodies discovered in the Siberian permafrost in recent years. However, Sir Ian is not terribly optimistic about the scientist's chances at present as there are many technical challenges to overcome. An effort is underway in Australia to resurrect the southern gastric-brooding frog, which swallowed fertilised eggs and gave birth orally, before the last known female died in captivity in 1983. Scientists had been fascinated by the creatures, which seemed to disappear from the forests of Queensland every year and were thought to be hibernating, but before they could study them in detail, the frogs died out, M.R. O'Connor said in an article for Salon.com. Luckily,samples of the frogs had been frozen and scientists are now using a cloning technique called somatic cell nuclear transfer to try and resurrect them. Researchers at the University of New South Wales removed the nuclei from eggs of a closely related living frog species and replaced it with the extinct species' cells and in spring the eggs reached the early embryonic stage. Mike Archer, a professor of paleobiology and a member of the Lazarus Project, told the publication: 'We are watching Lazarus arise from the dead, step by exciting step. We’ve reactivated dead cells into living ones and revived the extinct frog’s genome in the process.' It is not just Australian scientists who are pinning their hopes on de-extinction techniques. Four years ago researchers in Spain managed to produce a baby Pyrenean Ibex (like the one pictured) - extinct since 2000 - born of a domestic goat, but unfortunately the animal died soon after birth He said he is confident any problems are technological and not biological. It is not just Australian scientists who are pinning their hopes on de-extinction techniques. Four years ago researchers in Spain managed to produce a baby Pyrenean Ibex born of a domestic goat but unfortunately the animal died soon after birth. The species has been extinct since 2000. Scientists at the University of California are sequencing the genome of the passenger pigeon, which died out in 1914, with other groups setting their sites on doing similar work on the extinct Californian monk seal, Carolina parakeet and Tasmanian tiger. But perhaps the Sooam Biotech Research Foundation in Korea has embarked on the ambitious and high profile de-extinction project as it is working to reintroduce the woolly mammoth. However, opinion is divided as to whether such science is responsible. Scientists in favour of the practice believe it could un-do human wrongs against the planet. Scientists are sequencing the genome of the passenger pigeon (pictured), which died out in 1914, and others are planning similar work on the extinct Tasmanian tiger. Environmentalist Stuart Brand believes humans have the ability and the moral obligation, to repair any damage they have caused to the planet Environmentalist Stuart Brand, who is co-founder of the Revive and Restore Foundation (another de-extinction project) told Salon: 'Humans have made a huge hole in nature, we have the ability, maybe the moral obligation, to repair that damage.' However, other scientists think advances in the field could actually damage current conservation efforts and could potentially make more animals extinct. A number of researchers attending a summit at Stanford University to debate the ethics of de-extinction were reportedly concerned the ability to litterally put extinct species on ice, could become standard pracitice instead of trying to protect current animals at risk of extinction living in the wild. Jamie Rappaport Clark, president and CEO of Defenders of Wildlife, reportedly said that she believes politicians would take advantage of de-extinction technology to undermine species conservation. Professor Ronald Sandler from Northwestern University said de-extinction is not guaranteed to preserve a species or solve the problem of its habitat being damaged by humans. He warned that the southern gastric-brooding frog could be resurrected and reintroduced only to find that the forest streams it needs to stay alive, have run dry. The Sooam Biotech Research Foundation in Korea has embarked on the ambitious de-extinction project of reintroducing the woolly mammoth to Earth but there are ethical concerns about re-introducing an animal into an alien environment"
491755,cnn-train-b0ff7f74cfcd5b8db155054ec37165aad0c6986d,They said the days were gone when consumers were driven by low prices alone.,REFUTES,"[128, 142]",0.0,PronounSwap,"[0, 0]",,cnndm/cnn/stories/b0ff7f74cfcd5b8db155054ec37165aad0c6986d.story,"London (CNN) -- The European head of consumer goods giant Unilever believes that improving the company's environmental practices could help double its sales, such is the appetite from customers from sustainably-made products. Jan Zijderveld, the Anglo-Dutch conglomerate's president of Europe, said there was a clear demand from consumers for ""green"" products. ""What they want is products from a company where they know that the company makes the products responsibly,"" he said. ""When they buy PG Tips they know that the tea is grown from sustainable plantations, they know that the way we make it and produce is in the most responsible (way) possible."" He said the days were gone when consumers were driven by low prices alone. ""The funny thing is that for the consumer, 'good value' doesn't necessarily mean 'cheap.'"" He rejected the suggestion that Unilever's environmental focus was simply ""greenwashing,"" saying it was ""part of our European heritage to build a decent business that is rooted in society and does the right thing."" While cynics might doubt the company's ability to make good on ambitious plans to double the business while halving its environmental footprint, he believed Unilever could be a world-leading example of corporate responsibility. ""We will prove to the world that this is the right plan and this is also the right sustainable plan for business."" Read also: BT CEO: Smartphones and tablets transforming workplace While the company had strong global credentials, having operated in Asia for more than a century, it had recently been extending further into emerging markets such as Russia. ""As a global enterprise we really have to look at where the opportunities are, and that is where the people are, where the population growth is, where the economies are growing and the consumption is still low,"" he said. He saw opportunities for the future in Russia, China, Vietnam, Pakistan, Bangladesh, as well as in African markets, ""because in many of these countries the consumption is lower, they are not consuming many of the fast-moving consumer goods we sell."" The emerging markets compared favorably to Europe in their attitudes toward business, he said ""The environment is much more pro-business ... they understand that business is a force for good. Business generates new products, it generates jobs, it pays taxes,"" he said. ""It is a lot easier to do business in the emerging world -- it is a lot more proactive, it is less bureaucratic."" He felt there was ""too much negativism"" towards business in Europe, and said he would like to see a cultural and policy shift to create a more dynamic, innovative business sector. ""To get the innovation through takes too long, to get approvals through takes too long, so things are just too slow and too bureaucratic,"" he said. ""If we want to reinvent this continent and make it creative, growing and dynamic, you need to loosen it up a little, give it some fresh air ... Europe needs a little bit of a spring clean to be able to innovate again and grow again."""
470924,cnn-train-5f3a28023ec4ddcfc29c61bf600fb9cd02cb8a7f,"I did audition for 'Theo Theo James' back in the day,,"" "" Woodley told reporters at a a press conference on Thursday, July 18. """,REFUTES,"[166, 194]",0.0,EntitySwap,"[5, 6]",,cnndm/cnn/stories/5f3a28023ec4ddcfc29c61bf600fb9cd02cb8a7f.story,"(CNN) -- Lucky fans were treated to the first ever footage from upcoming teen dystopic film ""Divergent"" at Comic-Con yesterday. The primary cast of the film, as well as director Neil Burger (""Limitless"") and book author Veronica Roth, spoke about the film's potential as the so-called next ""Hunger Games"" and offered hints about what's to come from the franchise. The futuristic film stars Shailene Woodley as a teenager named Tris who is forced to decide between the societal faction her family belongs to and the one she feels is right for her. It will be released in theaters on March 21, 2014. Woodley, who finished filming only two days prior to Comic-Con, is already preparing for the wash of fame that will follow should the movie be a success. Harrison Ford talks 'Ender's Game' ""I did audition for 'The Hunger Games' back in the day,"" Woodley told reporters at a press conference on Thursday, July 18. ""Jennifer Lawrence actually helped me with 'Divergent' because I asked her to tell me how her life has changed from going from small indie movies to something as big as 'Hunger Games.' And she gave me really beautiful advice saying how much she appreciated it and how much it's changed her life in positive ways. She really helped me on this journey."" The actress cited filming the book's integral scene on Chicago's famous Navy Pier -- Ferris wheel as her favorite moment in the film -- as well as one of her favorite moments in her life. The big-budget, action-based picture is a far cry from some of Woodley's previous roles, which include ""The Descendents"" and next month's ""The Spectacular Now."" For the actress and her co-stars, many of whom are largely unknown actors, ""Divergent"" was a chance to experience new methods of filmmaking. ""Green-screen acting is by far way more difficult than human interaction,"" Woodley said. ""I'd never done a movie of this scale before with themes that are somewhat different than the world we live in today. So it was challenging for me I found because I had to erase my previous notions of acting, which is generally reacting off of somebody else, and create a new world and adapt my style of artistry to what we were doing."" An adaptation of the series' second book, ""Insurgent,"" is expected for 2015. Roth said she has been present on set and feels that the film remains true to her original text. The author confirmed that the final book, ""Allegiant,"" will be written from two perspectives: Tris and her love interest Four, who is played in the film by Theo James. But since the third book in the series will be released October 22, 2013, the actors and filmmakers still don't know the final fate of the characters. ""Not everyone on this panel lives,"" said Miles Teller, who plays Peter, as he motioned to the 10 cast members at the press conference. ""But I'm excited."" 'Kick-Ass 2': Not your average sequel"
791624,cnn-train-d443b23954e6396576f5938f2cf01b6888febdeb,"Criminal charges were brought against me personally for for allegedly spending environmental funds funds on pensions pensions ... for committing committing a crime and and paying paying pensions when country was in crisis, she after being questioned, according to his website.",SUPPORTS,"[167, 211]",1.0,,,,cnndm/cnn/stories/d443b23954e6396576f5938f2cf01b6888febdeb.story,"(CNN) -- Prosecutors in Ukraine have opened a corruption investigation into former Prime Minister Yulia Tymoshenko, she said Wednesday, accusing them of a ""political witch hunt."" Authorities are looking into whether she diverted environmental funds toward pensions, she said. She was questioned at the General Prosecutor's Office, she said in a statement on her website. Tymoshenko was one of the leaders of Ukraine's ""Orange Revolution"" in 2005. She ran for president this year but lost to Viktor Yanukovych, one of her Orange Revolution opponents. The two traded accusations -- and their supporters in parliament traded punches -- in April, when Yanukovych signed a deal allowing Russian military bases to remain in the country through 2042. She's now leader of the opposition. ""The authorities continue to systematically terrorize the opposition without any respect for the law or Constitution,"" she said Wednesday. ""Criminal charges have been filed against me personally for allegedly spending environmental funds on pensions ... for committing a serious crime and paying pensions when the country was in a serious crisis,"" she said after being questioned, according to her website. ""Yanukovych ... will have to take responsibility for each act of repression against the genuine opposition, as well as for what he is doing today to all Ukrainian citizens,"" Tymoshenko added, according to the Russian news agency RIA-Novosti. She was ordered to return for more questioning Monday, the agency said."
491263,dailymail-train-32e04edd3180ba5f8b3084c2c4f96e484df5a4a4,"Taxi earn earn less than 5,000 yuan yuan a month for working punishing 14-hour shifts, six days a week..",SUPPORTS,"[315, 334]",0.0,,,,cnndm/dailymail/stories/32e04edd3180ba5f8b3084c2c4f96e484df5a4a4.story,"By Hugo Gye A generous taxi driver has become an overnight celebrity in China after he found a huge bundle of cash in the back of his cab - and promptly returned it to its rightful owner. Zhao Lei discovered 170,000 yuan (£16,200) in a paper bag on the back seat of his taxi after taking a young couple to a car dealership in Harbin, in the north-eastern province of Heilongjiang. Instead of keeping the huge haul - likely to be at least three times his annual salary - he handed it in to the company which he works for. Generous: Taxi driver Zhao Lei, left, hands a stack of money back to the passenger who lost it, right Lucrative: The total value of the cash was 170,000 yuan, the equivalent of £16,200 The firm contacted the passengers, who said they had been carrying so much cash in order to pay for a new car, and returned the money. The delighted couple tried to offer Mr Zhao 10,000 yuan as a reward for his honesty, but he refused to accept the cash. 'It's what I have to do,' the driver said after news of his exploits came to light. 'Anyone who lost such a big amount of money will go crazy. I won't take advantage of that.' Pleased: The rightful owner of the money pictured after it was returned to him Couple: The man and his girlfriend were planning to use the cash to buy a new car GDP per person in China is around £4,500, meaning that the bounty discovered by Mr Zhao represents an enormous reward for the average Chinese person. Taxi drivers earn less than 5,000 yuan a month for working punishing 14-hour shifts, six days a week. The story of Mr Zhao's selflessness is likely to be held up as an example of community spirit by the Chinese media, in contrast to a wave of stories demonstrating the increasing individualism of the country's society. In 2011, a little girl who was run over by two cars was seen on camera bleeding to death while nearly 20 passers-by simply ignored her plight. President Xi Jinping has introduced the concept of the 'Chinese Dream' in a bid to ensure that citizens retain their sense of social solidarity as the country grows wealthier and more westernised."
836489,dailymail-train-ca28b2752656183dc2264fcd01b785c7d7474867,A van was also abducted on Denmark Street. and pushed in the direction of police lines.,SUPPORTS,"[173, 187]",1.0,,,,cnndm/dailymail/stories/ca28b2752656183dc2264fcd01b785c7d7474867.story,"By Daily Mail Reporter PUBLISHED: 05:35 EST, 4 September 2012 | UPDATED: 08:19 EST, 4 September 2012 Fifteen police officers have been hurt in a second night of riots in Belfast. Three of them were taken to hospital after crowds threw 15 petrol bombs at police lines in the Carlisle Circus area in the north of the city. The clashes came after 47 officers from the Police Service of Northern Ireland were hurt on Sunday night during riots linked to a republican parade nearby and a loyalist protest. Scroll down for video Fifteen police officers were hurt yesterday in a second night of violence on the streets of Belfast Last night's clashes came after 47 officers were injured on Sunday in the Carlisle Circus area of the city Rioters hurled stones, bottles, fireworks and rocks at police, who used water cannon and six baton rounds in response. A van was also hijacked in Denmark Street and pushed towards police lines. It is not yet known how serious the injuries sustained by the police officers taken to hospital are. Terry Spence, chairman of the Northern Ireland Police Federation, said: 'Their bravery and courage is in stark contrast to that of the cowardly thugs responsible for trying to murder them.' Assistant Chief Constable Will Kerr said: 'I am very proud of how my colleagues stood in the face of danger, working to bring this situation under control, but I am saddened and angry that again we find ourselves subject to serious violence from the communities we serve.' Rioters hurled petrol bombs, stones, bottles, fireworks and rocks at police in the city last night 'Let me be clear, we have made seven arrests already and with a robust criminal justice strategy in place, there will be more.' 'The community of North Belfast needs to see a resolution to this issue now.' 'Collectively, we cannot afford to wait and we cannot have night after night of violence on our streets. Following two nights of disorder, we have a number of police officers who are no longer available to deliver their core policing duties, protecting the communities they serve.' Kerr said the violence had to be brought to an end. 'The huge impact on Northern Ireland cannot be ignored. As we strive to promote our positive image, the negative effect of these violent pictures on jobs, tourism and investment cannot be underestimated. We do not want to take a backward step,' he said. 'I urge all those with influence to urgently use it to bring a resolution to the violence and work towards a longer-term solution for the issues affecting this area.'"
371403,dailymail-train-a0329d43e57c7e6d380986348b9125005b71392b,"Hosted by judges Michael Moloney and Sabrina Soto, each each family has has just three weeks transform their home for the holidays, the clock as they pit their wits against each other to create create the most ridiculously ridiculously elaborate elaborate illuminations..",SUPPORTS,"[147, 189]",0.0,,,,cnndm/dailymail/stories/a0329d43e57c7e6d380986348b9125005b71392b.story,"Forget a few baubles and a wreath, for middle-America’s most fanatically festive families, Christmas decorations include 100 trees, six foot Santas and lights so bright, pilots at the local airport use them as a beacon. The ostentatious families are the stars of a new U.S. TV show that's made it's way to the UK this month. The Great Christmas Light Fight, which airs on truTV, follows America’s most fanatically festive families. Feeling festive: A new TV show sees Christmas-obsessed families across America competing for a £30,000 prize fund Each episode takes decking the halls to the absolute extreme, as households compete to create the most over-the-top Christmas light displays to win a £31,000 ($50,000) cash prize. Hosted by judges Michael Moloney and Sabrina Soto, each family has just three weeks to transform their home for the holidays, working around the clock as they pit their wits against each other to create the most ridiculously elaborate illuminations. Judged on rigorous and strict criteria that ranges from use of lights, overall design and Christmas spirit, their displays feature six foot Santas, luminous snowmen, glowing reindeer and metres and metres of coloured lights  in the most astonishing display of festive cheer. Competition: Each family has just three weeks to transform their home for the holidays, working around the clock as they pit their wits against each other to create the most ridiculously elaborate illuminations Battle: Each episode takes decking the halls to the absolute extreme, as households compete to create the most over-the-top Christmas light displays to win a £31,000 cash prize One of the families featured, the Baughmans from Dallas, adorn their house with 100,000 lights, 100 Christmas trees and 16 Christmas-themed arches. They take the whole process so seriously that they spend all year prepping and programming the lights, spend two months setting up and are known as local celebrities thanks to their display. Giving them a run for their money is the Downs family from Oklahoma. The Downs family Christmas display is one of the largest musically synchronized displays in the country. The display has become such a spectacle that an average of 20,000 cars attend each year and on Christmas Eve last year, they had close to 5,000 cars driving by. Winter wonderland: This home features a Ferris wheel, 80 ft ski lift and 180,000 lights and pilots at the local airport even use their home as a beacon during the holiday season Shine bright: Each house is judged on rigorous and strict criteria that ranges from use of lights, overall design and Christmas spirit Mark and Kathy from Miama have been doing their display since 1990 when they tied the knot. The family spends a total of five hours, three days a week for three months to get their display ready in time for the holidays. They believe their Ferris wheel, 80 ft ski lift and 180,000 lights are what set their display apart from others. Pilots at the local airport even use their home as a beacon during the holiday season. New Yorker Kevin Lynch, 54, has been doing his display for 16 years and it normally takes seven weeks and over 300 hours to put it up. He has over 300,000 lights and 350 figures and has received awards from US Senator Patavan and City Councilman Tony Avella. Classic: This home is all about the fairy lights but for others,  Christmas decorations include 100 trees and six foot Santas Les Mize, 68, has been decorating his  home in San Francisco for 43 years. What started as a mere Mickey Mouse and Disney memorabilia collection has become a full-blown obsession. Patty, his wife, tries to keep Les in check and the decorations under control but finds it difficult to squash Les’s Christmas spirit. The house takes 294 hours to decorate, uses 200,000 lights just on the exterior, has over 400 Mickeys in the garage display alone, has 10,000 visitors over a three week period and has become known as the Mickey Mouse Christmas House. The Blount family from Los Angeles, meanwhile, turn their display into a charitable affair. Father Andrew, a CEO of a software company, likes to give back to the community and last year they displayed 120,000 lights and served tonnes of warm apple cider to faithful visitors. The Blounts even have a tree shipped in from Siberia each year. Over-the-top: Some of the families get so carried away that they spend days decorating their homes and have hundreds of people visiting Spectacle: Some displays have an average of 20,000 cars attending each year The Great Christmas Light Fight premieres on truTV, freeview channel 68, from Monday 15 December at 9pm."
73349,dailymail-train-955b2cd2cf1c41f6ff3027354228e12cd374b012,PUBLISHED: .,SUPPORTS,"[5, 7]",0.0,,,,cnndm/dailymail/stories/955b2cd2cf1c41f6ff3027354228e12cd374b012.story,"By Associated Press PUBLISHED: 19:16 EST, 6 December 2012 | UPDATED: 11:53 EST, 7 December 2012 Thousands of images seized from the home of Susan Powell's father-in-law show the missing Utah mother as she walks in public and sits in her car - apparently unaware that someone is taking her picture. The photos - some of which are sexually suggestive - were obtained under public records laws Thursday by The Associated Press, and revealed on Thursday - three years to the day after Mrs Powell went missing. Authorities uncovered the files while serving a search warrant last year at the home where her husband, Josh Powell, and father-in-law, Steven Powell, were living. Images: Thousands of pictures seized from the home of Susan Powell's father-in-law show the missing Utah mother as she walks in public and sits in her car - apparently unaware that someone is taking her picture Father and son: The files were uncovered in a home shared by Steven Powell, pictured right, and his son Josh, pictured left Josh Powell killed himself and the couple's two young children earlier this year. Some of the images seized during the search, including those of bathing young girls who lived next door to Steven Powell, were used earlier this year to convict him of voyeurism charges. Other photos show a variety of women, apparently unaware that a camera is focused on them, as they walk along sidewalks, at the park or into the mall. Convicted: Steven Powell was found guilty of voyeurism and child porn charges in September Steven Powell was not charged with any crimes related to images of Susan Powell, but the files show she was often the focus of his lens. In a folder labeled with her initials, SMP, there are images of her walking through parking lots or sitting in her car. It appears the photographer is taking the pictures from another vehicle. Some images zoom closely to Susan Powell's crotch or her backside, including a set of photos taken through blinds as she's bending over and doing laundry. None of the pictures, which were found on a disc in Steven Powell's bedroom, show her naked. The folder dedicated to Susan Powell contains nearly 4,500 images. In journals that authorities have also made public, Powell describes himself as a 'voyeur' and Susan as an 'exhibitionist.' He talks about using a mirror to spy on her under the bathroom door, and he writes about taking sexual pleasure in looking at images of Susan Powell that he kept on his computer. Powell talks in his journals about taking lots of video of Susan during a trip to Silver Falls in 2009, and a folder of images from the trip shows only photos of her backside as she's walking. In one entry, dated a few months before Susan Powell disappeared, Steven Powell wrote that he had just woken up 'from a most pleasant dream about Susan.' He described a sexually charged dream in which Susan asked him, 'Do you think I would make a good wife for you?' Anne Bremner, an attorney who represents Susan Powell's parents, said the images support the family's assertion that Steven Powell had a concerning attraction for his daughter-in-law. Mother: Mrs Powell, pictured with her sons Charlie and Braden, has not been seen in three years 'When you look at those pictures, it's clearly surreptitious. It's clearly obsessive,' Bremner said. The family believes Steven Powell knows something about Susan Powell's disappearance, and authorities have described him as uncooperative. Mark Quigley, an attorney who represented Steven Powell in the voyeurism case, did not return a call seeking comment. Powell is in prison, serving a sentence of more than two years. Susan Powell disappeared in Utah in December 2009. Records have shown that Utah investigators handling the case focused their attention primarily on her husband. Revelations: Susan's husband Josh Powell, center, killed the couple's sons Charlie and Braden and himself after he rigged his house to explode with the three of them inside Tragedy: Powell blew up his Washington home, pictured, killing himself and the two young boys when they were dropped off for a supervised visit"
117583,dailymail-train-6c514863addea1fd27d8711c5c209970970c59aa,"The local authority declined to reveal the ages of the children or how much rent is not payable for what is the only council property in the street in Shepherd’s Bush, an area popular with bankers and City lawyers.",REFUTES,"[213, 253]",0.0,NegateSentences,"[15, 16]",,cnndm/dailymail/stories/6c514863addea1fd27d8711c5c209970970c59aa.story,"By Tom Kelly PUBLISHED: 16:07 EST, 31 May 2013 | UPDATED: 16:33 EST, 31 May 2013 Council bosses have abandoned attempts to move Abu Hamza’s wife from her £1million taxpayer-funded house. Officials admitted yesterday they are ‘powerless’ to throw out Najat Mostafa, the hook-handed cleric’s second wife, from the five-bedroom property in an exclusive west London street. Hammersmith and Fulham Council, which pays her rent, asked her to downsize last year after discovering that only two of the couple’s seven children were living there with her. Exclusive: The home of Abu Hamza's wife Najat Mostafa in Shepherd's Bush, London, is the only council-owned house in a street favoured by lawyers and bankers Terrorism charges: The hook-handed radical cleric was deported to the US to face charges last year But it said it had changed its mind after recently carrying out an audit and discovering that two more of her children have since moved back into the house, meaning she is no longer classed as ‘under-occupying’. The local authority declined to reveal the ages of the children or how much rent is payable for what is the only council property in the street in Shepherd’s Bush, an area popular with bankers and City lawyers. Hamza also has a son from his first marriage, which ended in divorce in 1984, and has never officially lived in the home. His Moroccan-born wife moved into the large property in 1995 after claiming that the couple had separated. But neighbours said the hate preacher was often seen at the house until his arrest in August 2004 over allegations of incitement to murder and racial hatred. Mrs Mostafa has received thousands of pounds in benefits during her time living there and the house has twice been refurbished during the past decade, costing taxpayers tens of thousands of pounds. Hamza was extradited to the United States to face terrorism charges last year, having delayed his deportation in the courts since 2004. He is accused of hostage-taking in Yemen and supporting attempts to set up an Al Qaeda training camp in the US. Large family: Hamza has seven children with Mrs Mostafa The cleric, infamous for his firebrand preaching against Britain and the West at North London’s Finsbury Park mosque, was previously jailed in Britain in 2006 for incitement to murder and racial hatred. Mrs Mostafa lives next door to former work and pensions secretary Lord Hutton, who declined to comment on the row over the house. But another neighbour, who described himself as retired but would not give his name, said: ‘It is ironic that she is living next door to the man who gave them so many handouts. ‘I am not happy she is here. She is very reclusive, she does not mix with neighbours. You see her walk down the street at quite a pace. ‘Nobody knows how many children are living there.’ A spokesman for Hammersmith and Fulham Council said: ‘We found that she is no longer under-occupying and she is living perfectly adequately in the property with the right number of children living there. ‘The council has no power or ability to tell her, or even ask her, to leave because she is not under-occupying.’ It is also unable to evict her as there is no time limit on her tenancy agreement. The council said that since she signed her lease, it had changed its policy and that all new tenancy agreements were limited to five years, so that tenants could be moved if their circumstances changed. Mrs Mostafa refused to comment. It emerged this week that radical cleric Abu Qatada has complained that his taxpayer-funded house is not big enough for his wife and their five children."
21440,cnn-train-bd29d7d3d98702720f87b0e7930ca13d559058ff,Her comments were taken from from the full article article that's out on Thursday..,SUPPORTS,"[146, 160]",0.0,,,,cnndm/cnn/stories/bd29d7d3d98702720f87b0e7930ca13d559058ff.story,"Monica Lewinsky writes that she's concerned a second Hillary Clinton bid for the White House would thrust her back into the spotlight. ""When I hear of Hillary's prospective candidacy, I cannot help but fear the next wave of paparazzi,"" she said in the upcoming issue of Vanity Fair. ""Like many Americans, I've been thinking about Hillary Clinton. What might happen, I've wondered, if she does run in 2016. And what if she wins -- and then wins a second term?"" she said. ""But when I think about these matters, there's a dimension at play for me other than just the fact that we might finally have a women in the White House,"" said Lewinsky. 'Burn the beret...' Her comments were taken from the full article that's due out on Thursday. It's the first time she's written about her affair with Bill Clinton, who was impeached over the resulting scandal. The Senate acquitted him of all charges. In excerpts released on Tuesday, Lewinsky, now 40, said the sexual relationship with Clinton while working as an intern in the mid-1990s was consensual and it was time to move on. ""It's time to burn the beret and bury the blue dress,"" she wrote, noting that she ""deeply"" regretted what occurred. ""Sure, my boss took advantage of me, but I will always remain firm on this point: it was a consensual relationship. Any 'abuse' came in the aftermath, when I was made a scapegoat in order to protect his powerful position,"" Lewinsky wrote. Wary of the next wave of stories While Lewinsky remained in the public eye for a number of years after the controversy, she said little about the scandal over the past decade. As the former first lady considers running for president, Lewinsky worries about how the potential campaign could affect her. In addition to ""paparazzi,"" Lewinsky also is wary of ""the next wave of 'where is she now?' stories, the next reference to me in Fox News coverage of the primaries. I've begun to find it debilitating to plot out the cycle of my life based, to some degree, on the political calendar. For me, it's a scenario in which the personal and political are impossible to separate,"" Lewinsky wrote. When Hillary Clinton ran for the Democratic presidential nomination in 2008, Lewinsky said that she ""remained virtually reclusive, despite being inundated with press requests."" 'Gun-shy yet again' She writes that she also put off announcing several media projects in 2012 until after that year's presidential election. ""And recently I've found myself gun-shy yet again, fearful of 'becoming an issue' should she decide to ramp up her campaign. But should I put my life on hold for another 8 to 10 years?"" Lewinsky asked. But she added that it was time to stop ""tiptoeing around my past -- and other people's futures. I am determined to have a different ending to my story. I've decided, finally, to stick my head above the parapet so that I can take back my narrative and give a purpose to my past. (What this will cost me, I will soon find out.)"" Lewinsky was constantly in the media during and shortly after the controversy. Handbags and grad school She sold a line of handbags in 1999 and the next year she appeared in commercials for diet company Jenny Craig. In 2002, she appeared in an HBO special on the affair, and the next year she hosted a reality dating program. Lewinsky changed course in 2005, moving to Britain to obtain a master's degree in social psychology at the London School of Economics. She's stayed out of the spotlight since. In the Vanity Fair article, Lewinsky responds to reports made public in February that Hillary Clinton, in correspondence with close friend Diane Blair during the 1990s, had characterized Lewinsky as a ""narcissistic loony toon."" Lewinsky writes that her first thought was: ""If that's the worst thing she said, I should be so lucky."" She continued, ""Mrs. Clinton, I read, had supposedly confided to Blair that, in part, she blamed herself for her husband's affair (by being emotionally neglectful) and seemed to forgive him. Although she regarded Bill as having engaged in 'gross inappropriate behavior,' the affair was, nonetheless, 'consensual (was not a power relationship).'"" Blair's personal writings gave insight into the former first lady's views on the Lewinsky scandal, as well as a host of other issues. The papers were donated by Blair's family to the University of Arkansas. Asked about those conversations between Hillary Clinton and Blair, Lewinsky writes: ""Yes, I get it. Hillary Clinton wanted it on record that she was lashing out at her husband's mistress. She may have faulted her husband for being inappropriate, but I find her impulse to blame the Woman -- not only me, but herself -- troubling."" And she rejects the ""narcissistic loony toon"" label, saying that she refused to cooperate with interrogators offering the then-24-year-old immunity from the threat of jail time in return for wearing a wire to monitor staged conversations with two of Clinton's confidantes. ""Courageous or foolish, maybe,"" Lewinsky writes, ""but narcissistic and loony?"" The full article will appear in the June issue of Vanity Fair, which will be available in New York and Los Angeles and on the iPhone, iPad, Nook, and Kindle -- on Thursday. The magazine will hit national newsstands on May 13. Clintons' relationship with media still testy after all these years In political extramarital affairs, the mistress rarely emerges unscathed"
